# color compressed images
# timestamp filename
1718989099.9227095 /home/sebastian/Documents/ANYmal_data/bag_extracted/000000.png
1718989099.9963057 /home/sebastian/Documents/ANYmal_data/bag_extracted/000001.png
1718989100.0538654 /home/sebastian/Documents/ANYmal_data/bag_extracted/000002.png
1718989100.1186297 /home/sebastian/Documents/ANYmal_data/bag_extracted/000003.png
1718989100.1871808 /home/sebastian/Documents/ANYmal_data/bag_extracted/000004.png
1718989100.2545633 /home/sebastian/Documents/ANYmal_data/bag_extracted/000005.png
1718989100.3189917 /home/sebastian/Documents/ANYmal_data/bag_extracted/000006.png
1718989100.3862894 /home/sebastian/Documents/ANYmal_data/bag_extracted/000007.png
1718989100.4546807 /home/sebastian/Documents/ANYmal_data/bag_extracted/000008.png
1718989100.520912 /home/sebastian/Documents/ANYmal_data/bag_extracted/000009.png
